,GlaThiDa_ID,NAME,RGI_ID,GTD_AREA,GTD_LON,GTD_LAT,status,remark
0,1,Isfallsglac,RGI50-08.02634,1.3,18.568,67.915,True,"automated correct"
1,3,Storglaciaeren,RGI50-08.02637,3.1,18.57,67.9,True,"automated correct"
2,8,Grinnell,RGI50-02.13926,1.0,-113.73,48.75,True,"automated correct"
3,10,Carbon,RGI50-02.00645,7.9,-121.78,46.93,True,"automated correct"
4,13,Collier,RGI50-02.00331,1.1,-121.7836,44.1652,True,"automated correct"
5,14,Diller,RGI50-02.00324,0.7,-121.7739,44.1432,True,"automated correct"
6,15,Eliot,RGI50-02.13914,1.7,-121.6803,45.3808,True,"automated correct"
7,16,Emmons,RGI50-02.00651,11.0,-121.72,46.85,True,"automated correct"
8,17,Hayden,RGI50-02.00325,0.7,-121.7762,44.1524,True,"automated correct"
9,18,Ladd,RGI50-02.13918,0.9,-121.7048,45.3916,True,"automated correct"
10,22,Nisqually,RGI50-02.00644,4.6,-121.74,46.82,True,"automated correct"
11,24,Prouty,RGI50-02.00312,1.0,-121.7598,44.1057,True,"automated correct"
12,26,Russell,RGI50-02.00654,3.3,-121.7889,46.8978,True,"automated correct"
13,27,Sandy,RGI50-02.00523,1.2,-121.7167,45.3797,True,"automated correct"
14,28,Tahoma North-L.,RGI50-02.13922,8.7,-121.82,46.83,True,"automated correct"
15,30,Wilson,RGI50-02.00658,1.4,-121.7525,46.8219,True,"automated correct"
16,31,Winthrop,RGI50-02.13923,9.2,-121.7419,46.8761,True,"automated correct"
17,39,Suyok Zapadniy,RGI50-13.06974,1.18,77.78,41.78,True,"automated correct"
18,44,Ts.Tuyuksuyskiy,RGI50-13.08624,2.72,77.08,43.05,True,"automated correct"
19,51,252,RGI50-13.05579,2.0,79.285,44.883,True,"probably automated correct"
20,52,Kaskabulakskii,RGI50-13.05578,2.8,79.317,44.883,True,"probably automated correct"
21,58,Mgg,RGI50-13.05624,2.0,79.53,44.97,True,"probably automated correct"
22,61,Shnitnikova,RGI50-13.05671,2.9,79.667,44.933,False,"not right due to http://glims.colorado.edu/textsearch/glacier_map.php?glac_id=G076709E42786N (GlaThiDa coordinate wrong by two degrees) Should be the three polygons RGI50-13.10143, RGI50-13.10187 and RGI50-13.10186"
23,64,41,RGI50-13.05655,1.0,79.68,44.97,False,"unclear"
24,66,Ashar,RGI50-13.05710,1.7,79.82,45.0,True,"probably automated correct"
25,69,Denisov,RGI50-13.05402,1.0,79.498,44.5858,False,"unclear"
26,71,305,RGI50-13.05393,1.0,79.5927,44.7016,True,"probably automated correct"
27,74,Juytas,RGI50-13.05376,2.1,79.7254,44.685,True,"probably automated correct"
28,75,261,RGI50-13.05375,1.1,79.7375,44.679,False,"unclear"
29,76,Keregetas,RGI50-13.05381,1.7,79.7391,44.6667,True,"probably automated correct"
30,80,93,RGI50-13.05203,0.8,80.29,44.582,True,"probably automated correct"
31,82,Khorgosskiy,RGI50-13.05200,2.5,80.2417,44.5846,True,"probably automated correct"
32,84,Majak Vostochniy,RGI50-13.05217,1.4,80.172,44.5723,True,"probably automated correct"
33,85,125,RGI50-13.05218,1.9,80.1887,44.5804,True,"probably automated correct"
34,87,Sagrir,RGI50-13.05285,1.5,80.1179,44.59,True,"probably automated correct"
35,88,168,RGI50-13.05266,1.3,80.1304,44.6254,True,"probably automated correct"
36,89,163,RGI50-13.05282,0.8,80.1082,44.5927,True,"probably automated correct"
37,90,162,RGI50-13.05283,1.4,80.0912,44.5901,True,"probably automated correct"
38,91,Shumskogo,RGI50-13.05504,2.82,80.23,45.08,True,"automated correct"
39,93,Brandner,RGI50-11.00408,1.84,9.7003,47.0586,True,"automated correct"
40,97,Gr. Gosau,RGI50-11.00003,1.33,13.6,47.48,True,"automated correct"
41,99,Guslar Gr.,RGI50-11.00779,1.76,10.8,46.85,True,"automated correct"
42,108,Zmuttgletscher,RGI50-11.02755,16.98,7.63,46.0,True,"automated correct"
43,110,Antoniabreen,RGI50-07.00229,32.0,14.3,77.48,True,"automated FALSE"
44,112,Bogerbreen,RGI50-07.01132,4.5,15.6254,78.1316,True,"automated correct"
45,114,Vestre Brøggerbreen,RGI50-07.00503,5.6,11.7267,78.911,True,"automated correct"
46,118,Midre Lovenbreen,RGI50-07.00493,5.8,12.07,78.88,True,"automated correct"
47,119,Märjelenbreen,RGI50-07.00232,6.4,15.4583,77.4474,True,"automated correct"
48,123,Finsterwalderbr,RGI50-07.00231,38.0,15.25,77.483,True,"automated correct"
49,126,Borebreen,RGI50-07.00464,120.0,13.9,78.4417,True,"automated correct"
50,130,Vestgötabreen,RGI50-07.00312,12.6,12.9026,78.462,True,"automated correct; Name in RGI5.0 wrong (Hydrografbreen)"
51,132,Hydrografbreen,RGI50-07.00311,12.8,12.7506,78.4552,True,"automated correct"
52,136,Idabreen,RGI50-07.00775,11.4,12.2719,79.599,True,"automated correct"
53,139,Løvliebreen,RGI50-07.00305,11.0,13.0411,78.4754,True,"automated correct"
54,147,Sveabreen,RGI50-07.00474,174.0,13.6135,78.6945,True,"automated correct"
55,151,Uversbreen,RGI50-07.00506,74.0,12.3434,78.8121,False,"automated correct, but also small polygon RGI50-07.00505 belongs to Uversbreen"
56,153,Hansbreen,RGI50-07.00240,72.0,15.6384,77.0629,True,"automated correct"
